text,label
"Canteen menu allergy notification for Srishti Bhardwaj (Class 3, Admission #9012) - severe peanut allergy requiring special meal arrangements.",IN_School
"Parent concern about school bus overcrowding for Anvi Sood (Class 5, Admission #5246) - requesting additional vehicle for Jayanagar route.",IN_School
Morning drop-off safety reminder for Westfield Middle School families - follow designated traffic patterns please.,US_School
"Dear Customer, Punjab National Bank INB txn Rs.16000 from A/c Z3594 ref# PN53563419 on 28DEC24. Contact if unauthorized",IN_Bank
Dear ALEX MARTINEZ You have successfully enrolled in mobile banking notifications. You will now receive SMS alerts for transactions over $500.00 and account balance updates. Manage preferences online,US_Bank
"Science olympiad team practice intensifies, state competition preparation sessions scheduled for weekend study groups.",US_School
"Parent volunteer registration for Kiran Sethi (Class 2, Admission #1234) - offering to help with upcoming science exhibition and cultural program organization.",IN_School
"Tiffin service subscription for Reyansh Chawla (Class 4, Admission #9135) - requesting Gujarati thali meals delivery with monthly package Rs.4200.",IN_School
8th grade Apollo 13 movie clips viewing permission for Engineering Design unit at Washington STEM Academy.,US_School
"Academic performance concern discussion request for Navya Varma (Class 5, Admission #2345) - mathematics subject improvement plan needed.",IN_School
"Dear Sir , Kindly find the attached document . Thanks and Regards, Priya M Customer Relations ICICI Bank Ltd | No - 287/2, MG Road, Near City Center, |Koramangala | Bangalore|Karnataka|India|560034|",US_Bank
"Foreign transaction You made a purchase abroad Here are the details: Amount $89.42 USD (€82.50 EUR) Merchant Milano Restaurant Location Rome, Italy Date May 25, 2025 Card ending in 8936",US_Bank
"Registration confirmation received for 2025-26 academic year, enrollment process successfully completed for all students.",US_School
"Special dietary requirement for Aahana Sheikh (Class 4, Admission #6789) - requesting Jain vegetarian meals in school canteen due to religious observance.",IN_School
"Debit card blocked Your card has been temporarily blocked Card ending in 5839 Reason Multiple incorrect PIN attempts Date May 31, 2025 Contact customer service to unblock or visit any branch location",US_Bank
"School magazine photography submission from parent of Aarushi Jain (Class 10, Admission #6789) - nature photography series for annual publication.",IN_School
"School newspaper article submission from Samarth Bose (Class 9, Admission #7890) - investigative piece on 'Water Conservation in Bangalore Schools'.",IN_School
"ACH payment scheduled Your automatic payment is set up Here are the details: Payee Metro Insurance Company Amount $156.78 Payment frequency Monthly Next payment Jun 15, 2025 From Checking (....4627)",US_Bank
"Returning student technology guidelines for end of year, backup important files before summer break begins.",US_School
"01-12-2024 Dear Customer, Monthly statement for November 2024 available. Login to view your account summary",IN_Bank
"25-04-2025 Dear Customer, Aadhaar XXXX XXXX 2593 authentication using OTP on 25-04-2025 at 12:15:30 IST for Address Update successful",IN_Bank
"School laboratory safety training completion for Devansh Khandelwal (Class 11, Admission #5357) - chemistry lab certification required before practical examinations.",IN_School
"Dear Mr. ROHIT AGARWAL GUPTA, Your account details available online. Monthly statement attached for convenience",IN_Bank
"3D modeling final scene assignment graded, lighting and street design project feedback available in Canvas.",US_School
Space exploration unit permission slip for Apollo documentary viewing in Johnson's middle school science classes.,US_School
